id,scanScoreId,itemId,rule,recommendationPriority,recommendationId,recommendationTitle,recommendationContent,wellArchitectedCategoryLevel1,wellArchitectedCategoryLevel2,wellArchitectedCategoryLevel3,wellArchitectedCategoryLevel4,recommendationCategory,namespace,label,isBasic,recommendationEffort,apiName,relatedObject,wellArchitectedTopicId,wellArchitectedLevel4Url,metadataType,recommendationExcludeFromHealthScore,line,key,isBinary,createdAt,updatedAt,hidden
121491593,10457,355246246,Flow has no description,1,5,Add description to flow,Adding a description helps other users understand its purpose.,Easy,Intentional,Readability,Documentation,Declarative Automation,,Add To Cart,false,1,AddToCart,,22,https://architect.salesforce.com/well-architected/easy/simple#Documentation,flows,false,,flowsAddToCartFlow has no description,false,2026-05-04T00:49:04.253Z,2026-05-04T00:49:04.253Z,active
121491594,10457,355246248,Flow has no description,1,5,Add description to flow,Adding a description helps other users understand its purpose.,Easy,Intentional,Readability,Documentation,Declarative Automation,,Analyze Billing Issue,false,1,AnalyzeBillingIssue,,22,https://architect.salesforce.com/well-architected/easy/simple#Documentation,flows,false,,flowsAnalyzeBillingIssueFlow has no description,false,2026-05-04T00:49:04.253Z,2026-05-04T00:49:04.253Z,active
121491595,10457,355246249,Flow has no description,1,5,Add description to flow,Adding a description helps other users understand its purpose.,Easy,Intentional,Readability,Documentation,Declarative Automation,,Analyze Technical Issue,false,1,AnalyzeTechnicalIssue,,22,https://architect.salesforce.com/well-architected/easy/simple#Documentation,flows,false,,flowsAnalyzeTechnicalIssueFlow has no description,false,2026-05-04T00:49:04.253Z,2026-05-04T00:49:04.253Z,active
121491596,10457,355246250,Flow has no description,1,5,Add description to flow,Adding a description helps other users understand its purpose.,Easy,Intentional,Readability,Documentation,Declarative Automation,,Assess Churn Risk,false,1,AssessChurnRisk,,22,https://architect.salesforce.com/well-architected/easy/simple#Documentation,flows,false,,flowsAssessChurnRiskFlow has no description,false,2026-05-04T00:49:04.253Z,2026-05-04T00:49:04.253Z,active
121491597,10457,355246251,Flow has no description,1,5,Add description to flow,Adding a description helps other users understand its purpose.,Easy,Intentional,Readability,Documentation,Declarative Automation,,Award Loyalty Points,false,1,AwardLoyaltyPoints,,22,https://architect.salesforce.com/well-architected/easy/simple#Documentation,flows,false,,flowsAwardLoyaltyPointsFlow has no description,false,2026-05-04T00:49:04.253Z,2026-05-04T00:49:04.253Z,active
121491598,10457,355246252,Flow has no description,1,5,Add description to flow,Adding a description helps other users understand its purpose.,Easy,Intentional,Readability,Documentation,Declarative Automation,,Calculate Customer Value,false,1,CalculateCustomerValue,,22,https://architect.salesforce.com/well-architected/easy/simple#Documentation,flows,false,,flowsCalculateCustomerValueFlow has no description,false,2026-05-04T00:49:04.253Z,2026-05-04T00:49:04.253Z,active
121491599,10457,355246254,Flow has no description,1,5,Add description to flow,Adding a description helps other users understand its purpose.,Easy,Intentional,Readability,Documentation,Declarative Automation,,Configure Account Settings,false,1,ConfigureAccountSettings,,22,https://architect.salesforce.com/well-architected/easy/simple#Documentation,flows,false,,flowsConfigureAccountSettingsFlow has no description,false,2026-05-04T00:49:04.253Z,2026-05-04T00:49:04.253Z,active
121491600,10457,355246255,Flow has no description,1,5,Add description to flow,Adding a description helps other users understand its purpose.,Easy,Intentional,Readability,Documentation,Declarative Automation,,Consent Stream Chatter Post,false,1,Consent_Stream_Chatter_Post,ConsentEvent,22,https://architect.salesforce.com/well-architected/easy/simple#Documentation,flows,false,,flowsConsentEventConsent_Stream_Chatter_PostFlow has no description,false,2026-05-04T00:49:04.253Z,2026-05-04T00:49:04.253Z,active
121491601,10457,355246257,Flow has no description,1,5,Add description to flow,Adding a description helps other users understand its purpose.,Easy,Intentional,Readability,Documentation,Declarative Automation,,Create Booking,false,1,CreateBooking,,22,https://architect.salesforce.com/well-architected/easy/simple#Documentation,flows,false,,flowsCreateBookingFlow has no description,false,2026-05-04T00:49:04.253Z,2026-05-04T00:49:04.253Z,active
121491602,10457,355246259,Flow has no description,1,5,Add description to flow,Adding a description helps other users understand its purpose.,Easy,Intentional,Readability,Documentation,Declarative Automation,,Create Customer Account,false,1,CreateCustomerAccount,,22,https://architect.salesforce.com/well-architected/easy/simple#Documentation,flows,false,,flowsCreateCustomerAccountFlow has no description,false,2026-05-04T00:49:04.253Z,2026-05-04T00:49:04.253Z,active
